ts_code,trade_date,total_mv,float_mv,total_share,float_share,free_share,turnover_rate,turnover_rate_f,pe,pe_ttm,pb
000001.SH,20181018,31699180114564.0,22966231985204.0,4442798161247.0,3289875967605.0,1243989478731.0,0.38,1.01,11.92,11.13,1.28
000300.SH,20181018,29449418462967.0,21842573432592.0,3691970608877.0,2703135408430.0,928883774793.0,0.27,0.79,11.17,10.47,1.3
000905.SH,20181018,5687430983317.0,4465633892148.0,881140150403.0,724932684320.0,415536426546.0,0.82,1.44,18.03,16.65,1.51
399001.SZ,20181018,10179054112565.0,7705370463348.0,1088737425967.0,845773870058.0,509473831228.0,0.88,1.46,17.48,16.16,1.93
399005.SZ,20181018,3085045567981.0,2228893363286.0,244211463062.0,179801475990.0,110333344951.0,0.85,1.39,21.43,19.55,2.73
399006.SZ,20181018,1693944514908.0,1083815980254.0,128802865087.0,93587976448.0,69877922054.0,1.5,2.01,29.56,27.04,3.2
399016.SZ,20181018,2185432734692.0,1703092728155.0,174493828078.0,140943430195.0,95872144544.0,1.06,1.56,18.86,17.93,2.72
399300.SZ,20181018,29449418462967.0,21842573432592.0,3691970608877.0,2703135408430.0,928883774793.0,0.27,0.79,11.17,10.47,1.3
000005.SH,20181018,1295146513074.0,618617244719.0,168601053467.0,87261145444.0,60194793605.0,0.76,1.1,12.74,12.58,1.19
000006.SH,20181018,589008238469.0,509355526925.0,91344316299.0,80701448890.0,32822641439.0,0.46,1.14,7.65,7.09,1.13
000016.SH,20181018,16101657858757.0,12779078542269.0,2046429718322.0,1608871537660.0,377997983573.0,0.14,0.6,10.01,9.33,1.17
399905.SZ,20181018,5687430983317.0,4465633892148.0,881140150403.0,724932684320.0,415536426546.0,0.82,1.44,18.03,16.65,1.51
